"The data shown here is provided by Statistics Canada from the 2011 Census as a custom data order for the City of Vancouver, using the City's 22 Local Area geography.",,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reused, reproduced or redistributed provided they are credited to Statistics Canada, Census 2011, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2011 ,,,,,,,,,,,,,,,,,,,,,,,,
,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City),CMA of Vancouver
           Berber languages (Kabyle) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
           Bisayan languages , -   , 5 , 5 , 5 , 5 , 10 , 35 , -   , 5 , 5 , 10 , 15 , -   , 25 , 5 , -   , 5 , -   , 15 , 5 , -   , -   , 140 , 445 
           Bosnian , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , 5 , 5 , -   , -   , 5 , -   , -   , -   , -   , 5 , -   , 10 , -   , 45 , 165 
           Bulgarian , -   , 25 , -   , 10 , 5 , -   , -   , -   , -   , 5 , -   , 5 , -   , 5 , -   , -   , -   , -   , -   , -   , 20 , -   , 85 , 225 
           Burmese , -   , 5 , -   , -   , -   , 10 , 10 , -   , 10 , 5 , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , 45 , 115 
           Cantonese , 195 , 375 , 185 , 170 , 170 , 735 , 730 , 205 , 585 , 150 , 385 , 145 , 290 , 970 , 245 , 75 , 85 , 115 , 445 , 810 , 100 , 75 ," 7,240 "," 14,470 "
"           Chinese, n.o.s. ", 155 , 225 , 140 , 90 , 75 , 270 , 360 , 160 , 310 , 95 , 220 , 50 , 215 , 485 , 130 , 100 , 50 , 35 , 210 , 395 , 100 , 60 ," 3,935 "," 9,715 "
           Creoles , -   , 5 , -   , -   , -   , -   , 5 , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 20 , 180 
           Croatian , 5 , 35 , 5 , 20 , 20 , 25 , 10 , -   , 10 , 15 , -   , 5 , -   , 30 , 10 , 5 , 5 , 5 , 5 , 20 , 35 , 5 , 270 ," 1,165 "
           Czech , -   , 25 , 5 , 10 , 10 , 5 , 5 , 5 , 5 , 20 , 5 , 15 , -   , 5 , 5 , 5 , 5 , -   , 5 , -   , 40 , 10 , 180 , 685 
           Danish , -   , 5 , 10 , 5 , 5 , 5 , -   , 5 , 5 , 5 , 5 , 5 , -   , -   , -   , 5 , -   , -   , -   , 5 , 5 , -   , 80 , 445 
           Dutch , 5 , 20 , 10 , 15 , 5 , 10 , 10 , 5 , 10 , 30 , 10 , 20 , 5 , 10 , 10 , 5 , 5 , 5 , 5 , 5 , 35 , 15 , 235 ," 1,445 "
           Estonian , 5 , -   , -   , -   , -   , -   , 5 , -   , -   , 5 , 5 , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , 20 , 85 
           Finnish , -   , -   , 5 , 15 , 5 , 5 , 5 , -   , 5 , 5 , 5 , 5 , -   , 5 , 5 , -   , -   , -   , -   , -   , 20 , -   , 95 , 400 
           Flemish , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 30 
           Fukien , -   , 10 , -   , 10 , -   , -   , 10 , -   , 5 , -   , 10 , -   , 10 , 10 , 10 , -   , -   , -   , -   , 10 , -   , -   , 110 , 370 
           German , 40 , 100 , 85 , 100 , 70 , 35 , 100 , 25 , 50 , 210 , 30 , 85 , 15 , 45 , 65 , 25 , 10 , 15 , 80 , 35 , 165 , 70 ," 1,465 "," 5,290 "
           Greek , 65 , 30 , 45 , 25 , 15 , 15 , 25 , 5 , 25 , 130 , 25 , 25 , 10 , 20 , 40 , 10 , 10 , -   , 10 , 5 , 15 , 25 , 580 ," 1,330 "
           Gujarati , 5 , 35 , 5 , 5 , 5 , 5 , 10 , 5 , 10 , 5 , 5 , 5 , 10 , 20 , 5 , -   , 10 , -   , 20 , -   , 15 , 10 , 195 ," 1,600 "
           Hakka , -   , 5 , 5 , 5 , -   , 5 , -   , 5 , -   , 5 , 5 , 5 , -   , 25 , -   , -   , -   , 5 , 5 , -   , -   , -   , 70 , 170 
           Hebrew , 5 , 20 , 25 , 20 , 10 , -   , 5 , 10 , 5 , 30 , -   , 20 , 15 , -   , 20 , 20 , 25 , -   , 10 , -   , 5 , 10 , 250 , 430 
           Hindi , 15 , 60 , 10 , 20 , 20 , 35 , 125 , 15 , 60 , 25 , 20 , 15 , 15 , 160 , 30 , 10 , 5 , -   , 255 , 110 , 30 , 5 ," 1,035 "," 5,990 "
           Hungarian , 5 , 20 , 15 , 20 , 15 , 5 , 15 , 5 , 10 , 20 , 10 , 15 , 5 , 15 , 5 , -   , 10 , 5 , 5 , 5 , 25 , 10 , 235 , 935 
           Ilocano , -   , -   , -   , -   , 5 , 5 , 45 , -   , 10 , -   , 10 , 15 , -   , 55 , 15 , 5 , 5 , -   , 45 , 20 , -   , -   , 240 , 505 
"           Indo-Iranian languages, n.i.e. ", -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , -   , 20 , 75 
           Italian , 25 , 60 , 20 , 40 , 85 , 250 , 60 , 10 , 20 , 65 , 10 , 30 , 10 , 135 , 20 , 10 , 5 , 5 , 25 , 40 , 35 , 20 , 980 ," 3,365 "
           Japanese , 30 , 230 , 55 , 130 , 65 , 60 , 95 , 40 , 65 , 155 , 60 , 100 , 25 , 115 , 75 , 20 , 35 , 15 , 20 , 35 , 275 , 45 ," 1,735 "," 4,110 "
           Khmer (Cambodian) , -   , -   , -   , 5 , -   , 5 , 15 , -   , -   , -   , -   , 5 , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , -   , 40 , 155 
           Korean , 30 , 230 , 25 , 55 , 25 , 15 , 45 , 25 , 30 , 50 , 20 , 40 , 30 , 60 , 20 , 5 , 10 , 5 , 10 , 15 , 170 , 15 , 930 ," 3,315 "
           Kurdish , -   , -   , -   , 5 , -   , 5 , -   , -   , -   , -   , -   , 5 , -   , 5 , -   , -   , -   , -   , 5 , -   , 5 , -   , 35 , 110 
           Lao , -   , -   , -   , -   , 5 , 5 , 5 , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , 5 , -   , -   , 25 , 155 
           Latvian , 5 , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , 20 , 45 
           Lingala , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 30 
           Lithuanian , -   , -   , -   , 5 , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , 40 
           Macedonian , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 20 
           Malay , 5 , 40 , 10 , 10 , 5 , -   , 15 , 5 , 15 , 10 , 15 , -   , 10 , 20 , 5 , 5 , 10 , -   , 5 , 5 , 15 , 5 , 190 , 685 
           Malayalam , -   , 5 , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , 10 , -   , -   , -   , -   , 15 , 10 , -   , -   , 45 , 225 
           Maltese , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 20 
           Mandarin , 195 , 255 , 150 , 115 , 50 , 145 , 185 , 160 , 200 , 115 , 285 , 55 , 165 , 285 , 125 , 80 , 50 , 50 , 105 , 165 , 135 , 70 ," 3,155 "," 9,105 "
           Marathi , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , 15 , 60 
           Nepali , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 55 
"           Niger-Congo languages, n.i.e. ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 85 
           Norwegian , -   , 5 , 5 , -   , -   , -   , 5 , 5 , -   , 10 , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 5 , 5 , 40 , 180 
           Oromo , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 20 
           Panjabi (Punjabi) , 20 , 115 , 15 , 45 , 15 , 25 , 150 , 15 , 110 , 40 , 55 , 15 , 35 , 150 , 55 , 15 , 5 , -   , 730 , 160 , 30 , 5 ," 1,815 "," 13,485 "
           Pashto , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , 100 
           Persian (Farsi) , 15 , 310 , 10 , 40 , 20 , 20 , 10 , 15 , 15 , 45 , 10 , 20 , 5 , 15 , 10 , 5 , 5 , -   , 10 , 5 , 115 , 15 , 705 ," 3,050 "
           Polish , -   , 75 , 10 , 55 , 20 , 15 , 30 , 5 , 40 , 40 , 15 , 35 , 10 , 10 , 10 , 10 , 10 , -   , 10 , 5 , 70 , 10 , 500 ," 2,180 "
           Portuguese , 5 , 70 , 10 , 30 , 35 , 40 , 80 , 5 , 30 , 40 , 10 , 15 , -   , 115 , 20 , -   , 10 , 5 , 20 , 25 , 55 , 10 , 640 ," 1,925 "
           Romanian , 5 , 30 , -   , 20 , 10 , 5 , 5 , -   , 5 , 25 , 25 , 10 , 5 , 10 , 10 , -   , -   , -   , 10 , -   , 35 , 5 , 215 ," 1,040 "
           Rundi (Kirundi) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 
           Russian , 5 , 130 , 5 , 35 , 20 , 15 , 25 , 10 , 35 , 55 , 40 , 20 , 5 , 25 , 15 , 10 , 5 , 5 , 10 , 5 , 105 , 15 , 590 ," 1,925 "
           Rwanda (Kinyarwanda) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 10 
"           Semitic languages, n.i.e. ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 70 
           Serbian , 5 , 65 , 5 , 25 , 10 , 15 , 5 , 5 , 10 , 25 , 10 , 5 , -   , 20 , 5 , -   , -   , -   , 5 , -   , 45 , 5 , 255 , 765 
           Serbo-Croatian , 5 , 15 , -   , 10 , -   , 5 , 5 , -   , 5 , 5 , -   , 5 , 5 , 5 , 5 , -   , -   , -   , -   , -   , 15 , -   , 75 , 200 
           Shanghainese , 5 , 5 , -   , -   , -   , 10 , 5 , 10 , 5 , -   , 5 , 5 , 10 , 5 , -   , -   , -   , -   , 5 , 5 , 5 , -   , 90 , 260 
"           Sign languages, n.i.e. ", -   , -   , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , -   , 5 , -   , -   , -   , -   , -   , 5 , -   , 5 , -   , 35 , 215 
           Sindhi , 5 , 15 , -   , 5 , -   , -   , 5 , 5 , 5 , 5 , -   , -   , 5 , 5 , -   , 5 , -   , -   , 5 , -   , 10 , -   , 65 , 505 
           Sinhala (Sinhalese) , -   , -   , 5 , -   , -   , -   , 5 , -   , 5 , -   , -   , 5 , 5 , 5 , -   , -   , -   , -   , 10 , -   , 5 , -   , 35 , 255 
"           Sino-Tibetan languages, n.i.e. ", -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 25 
"           Slavic languages, n.i.e. ", -   , -   , -   , 5 , -   , 5 , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 40 
           Slovak , -   , 25 , 5 , 5 , -   , -   , 5 , -   , 10 , 10 , -   , 5 , -   , 5 , -   , -   , -   , -   , -   , -   , 35 , -   , 120 , 465 
           Slovenian , -   , 5 , -   , -   , -   , -   , -   , -   , 5 , 5 , -   , -   , -   , 5 , -   , -   , -   , -   , 5 , -   , 5 , -   , 25 , 90 
           Somali , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , 5 , -   , -   , -   , -   , 10 , -   , -   , -   , 25 , 160 
           Spanish , 45 , 275 , 75 , 175 , 135 , 170 , 185 , 40 , 160 , 245 , 85 , 140 , 35 , 145 , 85 , 30 , 30 , 35 , 80 , 65 , 300 , 65 ," 2,600 "," 7,380 "
           Swahili , 5 , -   , 5 , -   , 5 , 5 , -   , -   , -   , -   , -   , 5 , -   , 5 , -   , -   , 5 , 5 , 5 , -   , -   , 5 , 35 , 220 
           Swedish , 5 , 20 , 5 , 10 , 5 , 5 , -   , -   , -   , 10 , -   , 10 , -   , -   , 5 , -   , -   , 5 , -   , -   , 20 , -   , 110 , 370 
"           Tagalog (Pilipino, Filipino) ", 45 , 140 , 70 , 120 , 115 , 205 , 595 , 75 , 230 , 70 , 215 , 270 , 50 , 635 , 215 , 55 , 40 , 10 , 485 , 215 , 140 , 35 ," 4,025 "," 13,385 "
           Taiwanese , 20 , 25 , 20 , 5 , -   , 10 , 5 , 25 , 20 , 10 , 60 , 5 , 40 , 15 , 20 , 35 , 10 , -   , 15 , 5 , 5 , 10 , 360 ," 1,350 "
           Tamil , -   , 5 , -   , -   , -   , -   , 25 , -   , 5 , 5 , 5 , 10 , -   , 5 , 10 , 5 , -   , -   , 35 , 10 , 10 , -   , 120 , 380 
           Telugu , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , 5 , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , 20 , 75 
           Thai , 5 , 20 , -   , 5 , 15 , 5 , 10 , -   , 5 , 10 , 10 , 10 , -   , 10 , 10 , 5 , -   , -   , -   , 5 , 25 , 5 , 155 , 440 
           Tibetan languages , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 
           Tigrigna , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , -   , 20 , 80 
           Turkish , -   , 30 , 5 , 5 , 5 , -   , 5 , -   , -   , 20 , -   , 10 , 5 , 5 , -   , -   , -   , -   , -   , -   , 25 , -   , 115 , 400 
           Ukrainian , -   , 15 , -   , 15 , 10 , 5 , 10 , -   , 5 , 15 , 5 , 10 , -   , 10 , 5 , -   , -   , -   , 5 , -   , 20 , -   , 140 , 535 
           Urdu , -   , 5 , -   , -   , 5 , 5 , 10 , -   , 5 , 5 , -   , -   , -   , 5 , -   , 5 , -   , -   , 20 , 5 , 10 , -   , 90 ," 1,045 "
           Vietnamese , -   , 50 , 5 , 5 , 60 , 145 , 225 , -   , 85 , 5 , 15 , 40 , 10 , 255 , 45 , 5 , 5 , 40 , 95 , 110 , 10 , -   ," 1,225 "," 2,610 "
           Yiddish , 5 , -   , -   , 5 , -   , 5 , 5 , -   , -   , -   , -   , 5 , 5 , -   , -   , -   , -   , -   , 5 , -   , -   , 5 , 25 , 40 
         Other languages , 5 , 20 , 15 , 15 , 40 , 20 , 45 , 5 , 25 , 25 , 10 , 20 , 5 , 50 , 20 , 5 , 5 , 20 , 15 , 25 , 35 , 5 , 445 ," 1,490 "
     Multiple responses , 35 , 200 , 40 , 80 , 55 , 45 , 80 , 35 , 80 , 105 , 65 , 65 , 45 , 115 , 50 , 30 , 20 , 25 , 95 , 60 , 135 , 30 ," 1,490 "," 4,610 "
       English and French , -   , 30 , 5 , 10 , 5 , 5 , 5 , -   , 10 , 10 , 10 , 5 , -   , 5 , 5 , -   , 5 , -   , 10 , 5 , 10 , -   , 130 , 485 
       English and non-official language , 15 , 55 , 20 , 25 , 15 , 15 , 45 , 20 , 45 , 10 , 35 , 25 , 35 , 80 , 15 , 20 , -   , 5 , 55 , 35 , 35 , 10 , 615 ," 2,070 "
       French and non-official language , 15 , 115 , 20 , 45 , 40 , 25 , 30 , 15 , 30 , 80 , 20 , 35 , 10 , 35 , 30 , 15 , 10 , 15 , 30 , 20 , 85 , 20 , 735 ," 2,010 "
"       English, French and non-official language ", -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , 10 , 40 
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
